date,origin,destination,vessel_class,freight_rate,congestion,weather_alert,geopolitics_index,fuel_cost
2026-08-06,HAMP,PRDP,handysize,30.13,21,False,10.064790205080689,590.0367373357907
2026-08-07,HAMP,PRDP,handysize,30.32,20,False,10.214791939892457,596.287682212372
2026-08-08,HAMP,PRDP,handysize,30.21,17,False,9.762348072748793,590.3575494999792
2026-08-09,HAMP,PRDP,handysize,30.62,16,False,9.10061594166974,604.4024563972238
2026-08-10,HAMP,PRDP,handysize,30.35,15,False,9.043844308186145,591.6107306566809
2026-08-11,HAMP,PRDP,handysize,30.32,19,False,10.66888164981168,597.0079096362315
2026-08-12,HAMP,PRDP,handysize,30.42,17,False,9.00727800653761,592.6110329165961
2026-08-13,HAMP,PRDP,handysize,30.18,18,False,9.545460774852993,593.3030603301106
2026-08-14,HAMP,PRDP,handysize,30.52,20,False,9.046866071547239,597.3850697639795
2026-08-15,HAMP,PRDP,handysize,30.43,18,False,10.424971207007744,601.182972930123
2026-08-16,HAMP,PRDP,handysize,30.34,15,False,9.330715662551983,598.587394293051
2026-08-17,HAMP,PRDP,handysize,30.42,22,True,10.574537021403874,597.1322958016715
2026-08-18,HAMP,PRDP,handysize,30.51,19,False,10.404040286532283,596.2747820959687
2026-08-19,HAMP,PRDP,handysize,30.6,18,False,10.925275663623548,603.0999230230308
2026-08-20,HAMP,PRDP,handysize,30.43,15,False,10.78738866424145,594.5729001773104
2026-08-21,HAMP,PRDP,handysize,30.55,21,False,9.169409630807696,602.2016686875464
2026-08-22,HAMP,PRDP,handysize,30.4,16,False,10.242559254313162,602.1285920783046
2026-08-23,HAMP,PRDP,handysize,30.4,21,False,10.316799349496396,601.9466955334798
2026-08-24,HAMP,PRDP,handysize,30.23,15,False,10.140352131163393,596.284182771368
2026-08-25,HAMP,PRDP,handysize,30.34,15,False,10.77417373916568,594.7820821182446
2026-08-26,HAMP,PRDP,handysize,30.52,19,False,10.311432357712322,597.2191833483654
2026-08-27,HAMP,PRDP,handysize,30.36,22,False,10.796333899246205,594.4580397001871
2026-08-28,HAMP,PRDP,handysize,30.42,22,False,9.314402509426065,590.8985661791227
2026-07-24,HAMP,PRDP,panamax,20.08,22,False,9.229109727853066,593.8635192052556
2026-07-25,HAMP,PRDP,panamax,20.23,20,False,10.0922092381881,594.0985116216818
2026-07-26,HAMP,PRDP,panamax,20.18,17,False,10.596041738121855,604.1320275303412
2026-07-27,HAMP,PRDP,panamax,20.2,20,False,10.927171865058924,590.5494021903468
2026-07-28,HAMP,PRDP,panamax,20.31,22,False,10.302998984972811,601.2855648948844
2026-07-29,HAMP,PRDP,panamax,20.09,20,False,9.138586181939768,598.5653992424559
2026-07-30,HAMP,PRDP,panamax,20.19,21,False,10.868866113816166,594.723535194014
2026-07-31,HAMP,PRDP,panamax,20.22,19,False,10.140836971684955,592.4016250797421
2026-08-01,HAMP,PRDP,panamax,19.99,15,False,9.82845026484093,591.3760152049913
2026-08-02,HAMP,PRDP,panamax,20.25,22,False,10.351933159134875,597.1680706402101
2026-08-03,HAMP,PRDP,panamax,20.26,15,False,9.077061832962862,597.9523549850487
2026-08-04,HAMP,PRDP,panamax,20.2,17,False,9.632251044629545,604.0454070578761
2026-08-05,HAMP,PRDP,panamax,20.25,17,False,9.489040206774199,604.1948689606772
2026-08-06,HAMP,PRDP,panamax,20.02,21,False,10.064790205080689,590.0367373357907
2026-08-07,HAMP,PRDP,panamax,20.14,20,False,10.214791939892457,596.287682212372
2026-08-08,HAMP,PRDP,panamax,20.08,17,False,9.762348072748793,590.3575494999792
2026-08-09,HAMP,PRDP,panamax,20.35,16,False,9.10061594166974,604.4024563972238
2026-08-10,HAMP,PRDP,panamax,20.17,15,False,9.043844308186145,591.6107306566809
2026-08-11,HAMP,PRDP,panamax,20.14,19,False,10.66888164981168,597.0079096362315
2026-08-12,HAMP,PRDP,panamax,20.22,17,False,9.00727800653761,592.6110329165961
2026-08-13,HAMP,PRDP,panamax,20.05,18,False,9.545460774852993,593.3030603301106
2026-08-14,HAMP,PRDP,panamax,20.28,20,False,9.046866071547239,597.3850697639795
2026-08-15,HAMP,PRDP,panamax,20.22,18,False,10.424971207007744,601.182972930123
2026-08-16,HAMP,PRDP,panamax,20.15,15,False,9.330715662551983,598.587394293051
2026-08-17,HAMP,PRDP,panamax,20.21,22,True,10.574537021403874,597.1322958016715
2026-08-18,HAMP,PRDP,panamax,20.28,19,False,10.404040286532283,596.2747820959687
2026-08-19,HAMP,PRDP,panamax,20.33,18,False,10.925275663623548,603.0999230230308
2026-08-20,HAMP,PRDP,panamax,20.22,15,False,10.78738866424145,594.5729001773104
2026-08-21,HAMP,PRDP,panamax,20.3,21,False,9.169409630807696,602.2016686875464
2026-08-22,HAMP,PRDP,panamax,20.19,16,False,10.242559254313162,602.1285920783046
2026-08-23,HAMP,PRDP,panamax,20.19,21,False,10.316799349496396,601.9466955334798
2026-08-24,HAMP,PRDP,panamax,20.08,15,False,10.140352131163393,596.284182771368
2026-08-25,HAMP,PRDP,panamax,20.16,15,False,10.77417373916568,594.7820821182446
2026-08-26,HAMP,PRDP,panamax,20.28,19,False,10.311432357712322,597.2191833483654
2026-08-27,HAMP,PRDP,panamax,20.17,22,False,10.796333899246205,594.4580397001871
2026-08-28,HAMP,PRDP,panamax,20.21,22,False,9.314402509426065,590.8985661791227
2026-07-24,HAMP,PRDP,supramax,22.09,22,False,9.229109727853066,593.8635192052556
2026-07-25,HAMP,PRDP,supramax,22.24,20,False,10.0922092381881,594.0985116216818
2026-07-26,HAMP,PRDP,supramax,22.2,17,False,10.596041738121855,604.1320275303412
2026-07-27,HAMP,PRDP,supramax,22.22,20,False,10.927171865058924,590.5494021903468
2026-07-28,HAMP,PRDP,supramax,22.34,22,False,10.302998984972811,601.2855648948844
2026-07-29,HAMP,PRDP,supramax,22.11,20,False,9.138586181939768,598.5653992424559
2026-07-30,HAMP,PRDP,supramax,22.21,21,False,10.868866113816166,594.723535194014
2026-07-31,HAMP,PRDP,supramax,22.24,19,False,10.140836971684955,592.4016250797421
2026-08-01,HAMP,PRDP,supramax,22.0,15,False,9.82845026484093,591.3760152049913
2026-08-02,HAMP,PRDP,supramax,22.27,22,False,10.351933159134875,597.1680706402101
2026-08-03,HAMP,PRDP,supramax,22.29,15,False,9.077061832962862,597.9523549850487
2026-08-04,HAMP,PRDP,supramax,22.23,17,False,9.632251044629545,604.0454070578761
2026-08-05,HAMP,PRDP,supramax,22.28,17,False,9.489040206774199,604.1948689606772
2026-08-06,HAMP,PRDP,supramax,22.02,21,False,10.064790205080689,590.0367373357907
2026-08-07,HAMP,PRDP,supramax,22.16,20,False,10.214791939892457,596.287682212372
2026-08-08,HAMP,PRDP,supramax,22.09,17,False,9.762348072748793,590.3575494999792
2026-08-09,HAMP,PRDP,supramax,22.38,16,False,9.10061594166974,604.4024563972238
2026-08-10,HAMP,PRDP,supramax,22.18,15,False,9.043844308186145,591.6107306566809
2026-08-11,HAMP,PRDP,supramax,22.16,19,False,10.66888164981168,597.0079096362315
2026-08-12,HAMP,PRDP,supramax,22.23,17,False,9.00727800653761,592.6110329165961
2026-08-13,HAMP,PRDP,supramax,22.06,18,False,9.545460774852993,593.3030603301106
2026-08-14,HAMP,PRDP,supramax,22.3,20,False,9.046866071547239,597.3850697639795
2026-08-15,HAMP,PRDP,supramax,22.23,18,False,10.424971207007744,601.182972930123
2026-08-16,HAMP,PRDP,supramax,22.17,15,False,9.330715662551983,598.587394293051
2026-08-17,HAMP,PRDP,supramax,22.23,22,True,10.574537021403874,597.1322958016715
2026-08-18,HAMP,PRDP,supramax,22.3,19,False,10.404040286532283,596.2747820959687
2026-08-19,HAMP,PRDP,supramax,22.36,18,False,10.925275663623548,603.0999230230308
2026-08-20,HAMP,PRDP,supramax,22.25,15,False,10.78738866424145,594.5729001773104
2026-08-21,HAMP,PRDP,supramax,22.33,21,False,9.169409630807696,602.2016686875464
2026-08-22,HAMP,PRDP,supramax,22.21,16,False,10.242559254313162,602.1285920783046
2026-08-23,HAMP,PRDP,supramax,22.21,21,False,10.316799349496396,601.9466955334798
2026-08-24,HAMP,PRDP,supramax,22.08,15,False,10.140352131163393,596.284182771368
2026-08-25,HAMP,PRDP,supramax,22.17,15,False,10.77417373916568,594.7820821182446
2026-08-26,HAMP,PRDP,supramax,22.3,19,False,10.311432357712322,597.2191833483654
2026-08-27,HAMP,PRDP,supramax,22.19,22,False,10.796333899246205,594.4580397001871
2026-08-28,HAMP,PRDP,supramax,22.23,22,False,9.314402509426065,590.8985661791227
2026-07-24,HAMP,VIZG,capesize,14.99,11,False,10.885822636476657,593.8635192052556
2026-07-25,HAMP,VIZG,capesize,15.1,11,False,10.274754052831483,594.0985116216818
2026-07-26,HAMP,VIZG,capesize,15.06,15,False,10.430216090586258,604.1320275303412
2026-07-27,HAMP,VIZG,capesize,15.08,11,False,10.087998003237301,590.5494021903468
2026-07-28,HAMP,VIZG,capesize,15.16,15,False,10.002617993459925,601.2855648948844
2026-07-29,HAMP,VIZG,capesize,15.0,10,False,10.770022533881905,598.5653992424559
2026-07-30,HAMP,VIZG,capesize,15.07,11,False,9.361935140292681,594.723535194014
2026-07-31,HAMP,VIZG,capesize,15.1,10,False,9.590714820263136,592.4016250797421
2026-08-01,HAMP,VIZG,capesize,14.93,14,False,9.040375798617983,591.3760152049913
2026-08-02,HAMP,VIZG,capesize,15.11,14,False,10.40491859075761,597.1680706402101
2026-08-03,HAMP,VIZG,capesize,15.13,12,False,9.571932794942342,597.9523549850487
2026-08-04,HAMP,VIZG,capesize,15.08,11,False,10.645098162049344,604.0454070578761
2026-08-05,HAMP,VIZG,capesize,15.12,13,False,9.093619173703882,604.1948689606772
2026-08-06,HAMP,VIZG,capesize,14.95,12,False,10.284192007694047,590.0367373357907
2026-08-07,HAMP,VIZG,capesize,15.04,10,False,10.48848765923674,596.287682212372
2026-08-08,HAMP,VIZG,capesize,14.99,14,False,9.451584134402546,590.3575494999792
2026-08-09,HAMP,VIZG,capesize,15.19,12,False,9.386266097139826,604.4024563972238
2026-08-10,HAMP,VIZG,capesize,15.06,15,False,10.22584965128971,591.6107306566809
2026-08-11,HAMP,VIZG,capesize,15.04,13,True,10.97913084791379,597.0079096362315
2026-08-12,HAMP,VIZG,capesize,15.1,15,False,10.325387048399955,592.6110329165961
2026-08-13,HAMP,VIZG,capesize,14.97,11,False,9.930813254431778,593.3030603301106
2026-08-14,HAMP,VIZG,capesize,15.14,14,False,9.50626916947641,597.3850697639795
2026-08-15,HAMP,VIZG,capesize,15.09,10,False,10.083149885719928,601.182972930123
2026-08-16,HAMP,VIZG,capesize,15.04,12,False,9.930940020027156,598.587394293051
2026-08-17,HAMP,VIZG,capesize,15.09,14,False,9.01819697524666,597.1322958016715
2026-08-18,HAMP,VIZG,capesize,15.14,15,False,9.135382095634736,596.2747820959687
2026-08-19,HAMP,VIZG,capesize,15.17,11,False,10.068011456302575,603.0999230230308
2026-08-20,HAMP,VIZG,capesize,15.1,13,True,9.078376795949811,594.5729001773104
2026-08-21,HAMP,VIZG,capesize,15.15,12,False,10.16483258409978,602.2016686875464
2026-08-22,HAMP,VIZG,capesize,15.07,13,False,10.765528092045521,602.1285920783046
2026-08-23,HAMP,VIZG,capesize,15.07,10,False,9.519361339290025,601.9466955334798
2026-08-24,HAMP,VIZG,capesize,14.99,12,False,9.094356890640759,596.284182771368
2026-08-25,HAMP,VIZG,capesize,15.05,14,False,10.104047553282841,594.7820821182446
2026-08-26,HAMP,VIZG,capesize,15.13,15,False,10.64947305536084,597.2191833483654
2026-08-27,HAMP,VIZG,capesize,15.06,14,False,10.739092221782533,594.4580397001871
2026-08-28,HAMP,VIZG,capesize,15.09,12,False,9.407181829880981,590.8985661791227
2026-07-24,HAMP,VIZG,handysize,30.12,11,False,10.885822636476657,593.8635192052556
2026-07-25,HAMP,VIZG,handysize,30.32,11,False,10.274754052831483,594.0985116216818
2026-07-26,HAMP,VIZG,handysize,30.28,15,False,10.430216090586258,604.1320275303412
2026-07-27,HAMP,VIZG,handysize,30.29,11,False,10.087998003237301,590.5494021903468
2026-07-28,HAMP,VIZG,handysize,30.45,15,False,10.002617993459925,601.2855648948844
2026-07-29,HAMP,VIZG,handysize,30.13,10,False,10.770022533881905,598.5653992424559
2026-07-30,HAMP,VIZG,handysize,30.27,11,False,9.361935140292681,594.723535194014
2026-07-31,HAMP,VIZG,handysize,30.31,10,False,9.590714820263136,592.4016250797421
2026-08-01,HAMP,VIZG,handysize,29.97,14,False,9.040375798617983,591.3760152049913
2026-08-02,HAMP,VIZG,handysize,30.35,14,False,10.40491859075761,597.1680706402101
2026-08-03,HAMP,VIZG,handysize,30.38,12,False,9.571932794942342,597.9523549850487
2026-08-04,HAMP,VIZG,handysize,30.31,11,False,10.645098162049344,604.0454070578761
2026-08-05,HAMP,VIZG,handysize,30.37,13,False,9.093619173703882,604.1948689606772
2026-08-06,HAMP,VIZG,handysize,30.01,12,False,10.284192007694047,590.0367373357907
2026-08-07,HAMP,VIZG,handysize,30.21,10,False,10.48848765923674,596.287682212372
2026-08-08,HAMP,VIZG,handysize,30.1,14,False,9.451584134402546,590.3575494999792
2026-08-09,HAMP,VIZG,handysize,30.5,12,False,9.386266097139826,604.4024563972238
2026-08-10,HAMP,VIZG,handysize,30.23,15,False,10.22584965128971,591.6107306566809
2026-08-11,HAMP,VIZG,handysize,30.2,13,True,10.97913084791379,597.0079096362315
2026-08-12,HAMP,VIZG,handysize,30.3,15,False,10.325387048399955,592.6110329165961
2026-08-13,HAMP,VIZG,handysize,30.06,11,False,9.930813254431778,593.3030603301106
2026-08-14,HAMP,VIZG,handysize,30.4,14,False,9.50626916947641,597.3850697639795
2026-08-15,HAMP,VIZG,handysize,30.31,10,False,10.083149885719928,601.182972930123
2026-08-16,HAMP,VIZG,handysize,30.22,12,False,9.930940020027156,598.587394293051
2026-08-17,HAMP,VIZG,handysize,30.3,14,False,9.01819697524666,597.1322958016715
2026-08-18,HAMP,VIZG,handysize,30.4,15,False,9.135382095634736,596.2747820959687
2026-08-19,HAMP,VIZG,handysize,30.48,11,False,10.068011456302575,603.0999230230308
2026-08-20,HAMP,VIZG,handysize,30.31,13,True,9.078376795949811,594.5729001773104
2026-08-21,HAMP,VIZG,handysize,30.43,12,False,10.16483258409978,602.2016686875464
2026-08-22,HAMP,VIZG,handysize,30.28,13,False,10.765528092045521,602.1285920783046
2026-08-23,HAMP,VIZG,handysize,30.28,10,False,9.519361339290025,601.9466955334798
2026-08-24,HAMP,VIZG,handysize,30.11,12,False,9.094356890640759,596.284182771368
2026-08-25,HAMP,VIZG,handysize,30.22,14,False,10.104047553282841,594.7820821182446
2026-08-26,HAMP,VIZG,handysize,30.4,15,False,10.64947305536084,597.2191833483654
2026-08-27,HAMP,VIZG,handysize,30.25,14,False,10.739092221782533,594.4580397001871
2026-08-28,HAMP,VIZG,handysize,30.3,12,False,9.407181829880981,590.8985661791227
2026-07-24,HAMP,VIZG,panamax,20.01,11,False,10.885822636476657,593.8635192052556
2026-07-25,HAMP,VIZG,panamax,20.15,11,False,10.274754052831483,594.0985116216818
2026-07-26,HAMP,VIZG,panamax,20.11,15,False,10.430216090586258,604.1320275303412
2026-07-27,HAMP,VIZG,panamax,20.13,11,False,10.087998003237301,590.5494021903468
2026-07-28,HAMP,VIZG,panamax,20.23,15,False,10.002617993459925,601.2855648948844
2026-07-29,HAMP,VIZG,panamax,20.02,10,False,10.770022533881905,598.5653992424559
2026-07-30,HAMP,VIZG,panamax,20.11,11,False,9.361935140292681,594.723535194014
2026-07-31,HAMP,VIZG,panamax,20.14,10,False,9.590714820263136,592.4016250797421
2026-08-01,HAMP,VIZG,panamax,19.92,14,False,9.040375798617983,591.3760152049913
2026-08-02,HAMP,VIZG,panamax,20.17,14,False,10.40491859075761,597.1680706402101
2026-08-03,HAMP,VIZG,panamax,20.19,12,False,9.571932794942342,597.9523549850487
2026-08-04,HAMP,VIZG,panamax,20.13,11,False,10.645098162049344,604.0454070578761
2026-08-05,HAMP,VIZG,panamax,20.18,13,False,9.093619173703882,604.1948689606772
2026-08-06,HAMP,VIZG,panamax,19.94,12,False,10.284192007694047,590.0367373357907
2026-08-07,HAMP,VIZG,panamax,20.07,10,False,10.48848765923674,596.287682212372
2026-08-08,HAMP,VIZG,panamax,20.01,14,False,9.451584134402546,590.3575494999792
2026-08-09,HAMP,VIZG,panamax,20.27,12,False,9.386266097139826,604.4024563972238
2026-08-10,HAMP,VIZG,panamax,20.09,15,False,10.22584965128971,591.6107306566809
2026-08-11,HAMP,VIZG,panamax,20.06,13,True,10.97913084791379,597.0079096362315
2026-08-12,HAMP,VIZG,panamax,20.14,15,False,10.325387048399955,592.6110329165961
2026-08-13,HAMP,VIZG,panamax,19.97,11,False,9.930813254431778,593.3030603301106
2026-08-14,HAMP,VIZG,panamax,20.2,14,False,9.50626916947641,597.3850697639795
2026-08-15,HAMP,VIZG,panamax,20.14,10,False,10.083149885719928,601.182972930123
2026-08-16,HAMP,VIZG,panamax,20.07,12,False,9.930940020027156,598.587394293051
2026-08-17,HAMP,VIZG,panamax,20.13,14,False,9.01819697524666,597.1322958016715
2026-08-18,HAMP,VIZG,panamax,20.2,15,False,9.135382095634736,596.2747820959687
2026-08-19,HAMP,VIZG,panamax,20.25,11,False,10.068011456302575,603.0999230230308
2026-08-20,HAMP,VIZG,panamax,20.15,13,True,9.078376795949811,594.5729001773104
2026-08-21,HAMP,VIZG,panamax,20.22,12,False,10.16483258409978,602.2016686875464
2026-08-22,HAMP,VIZG,panamax,20.11,13,False,10.765528092045521,602.1285920783046
2026-08-23,HAMP,VIZG,panamax,20.11,10,False,9.519361339290025,601.9466955334798
2026-08-24,HAMP,VIZG,panamax,20.0,12,False,9.094356890640759,596.284182771368
2026-08-25,HAMP,VIZG,panamax,20.08,14,False,10.104047553282841,594.7820821182446
2026-08-26,HAMP,VIZG,panamax,20.2,15,False,10.64947305536084,597.2191833483654
2026-08-27,HAMP,VIZG,panamax,20.1,14,False,10.739092221782533,594.4580397001871
2026-08-28,HAMP,VIZG,panamax,20.13,12,False,9.407181829880981,590.8985661791227
2026-07-24,HAMP,VIZG,supramax,22.01,11,False,10.885822636476657,593.8635192052556
2026-07-25,HAMP,VIZG,supramax,22.15,11,False,10.274754052831483,594.0985116216818
2026-07-26,HAMP,VIZG,supramax,22.12,15,False,10.430216090586258,604.1320275303412
2026-07-27,HAMP,VIZG,supramax,22.14,11,False,10.087998003237301,590.5494021903468
2026-07-28,HAMP,VIZG,supramax,22.25,15,False,10.002617993459925,601.2855648948844
2026-07-29,HAMP,VIZG,supramax,22.02,10,False,10.770022533881905,598.5653992424559
2026-07-30,HAMP,VIZG,supramax,22.12,11,False,9.361935140292681,594.723535194014
2026-07-31,HAMP,VIZG,supramax,22.15,10,False,9.590714820263136,592.4016250797421
2026-08-01,HAMP,VIZG,supramax,21.91,14,False,9.040375798617983,591.3760152049913
2026-08-02,HAMP,VIZG,supramax,22.18,14,False,10.40491859075761,597.1680706402101
2026-08-03,HAMP,VIZG,supramax,22.2,12,False,9.571932794942342,597.9523549850487
2026-08-04,HAMP,VIZG,supramax,22.14,11,False,10.645098162049344,604.0454070578761
2026-08-05,HAMP,VIZG,supramax,22.19,13,False,9.093619173703882,604.1948689606772
2026-08-06,HAMP,VIZG,supramax,21.93,12,False,10.284192007694047,590.0367373357907
2026-08-07,HAMP,VIZG,supramax,22.07,10,False,10.48848765923674,596.287682212372
2026-08-08,HAMP,VIZG,supramax,22.0,14,False,9.451584134402546,590.3575494999792
2026-08-09,HAMP,VIZG,supramax,22.29,12,False,9.386266097139826,604.4024563972238
2026-08-10,HAMP,VIZG,supramax,22.1,15,False,10.22584965128971,591.6107306566809
2026-08-11,HAMP,VIZG,supramax,22.07,13,True,10.97913084791379,597.0079096362315
2026-08-12,HAMP,VIZG,supramax,22.15,15,False,10.325387048399955,592.6110329165961
2026-08-13,HAMP,VIZG,supramax,21.97,11,False,9.930813254431778,593.3030603301106
2026-08-14,HAMP,VIZG,supramax,22.21,14,False,9.50626916947641,597.3850697639795
2026-08-15,HAMP,VIZG,supramax,22.15,10,False,10.083149885719928,601.182972930123
2026-08-16,HAMP,VIZG,supramax,22.08,12,False,9.930940020027156,598.587394293051
2026-08-17,HAMP,VIZG,supramax,22.14,14,False,9.01819697524666,597.1322958016715
2026-08-18,HAMP,VIZG,supramax,22.21,15,False,9.135382095634736,596.2747820959687
2026-08-19,HAMP,VIZG,supramax,22.27,11,False,10.068011456302575,603.0999230230308
2026-08-20,HAMP,VIZG,supramax,22.16,13,True,9.078376795949811,594.5729001773104
2026-08-21,HAMP,VIZG,supramax,22.24,12,False,10.16483258409978,602.2016686875464
2026-08-22,HAMP,VIZG,supramax,22.12,13,False,10.765528092045521,602.1285920783046
2026-08-23,HAMP,VIZG,supramax,22.12,10,False,9.519361339290025,601.9466955334798
2026-08-24,HAMP,VIZG,supramax,22.0,12,False,9.094356890640759,596.284182771368
2026-08-25,HAMP,VIZG,supramax,22.09,14,False,10.104047553282841,594.7820821182446
2026-08-26,HAMP,VIZG,supramax,22.21,15,False,10.64947305536084,597.2191833483654
2026-08-27,HAMP,VIZG,supramax,22.1,14,False,10.739092221782533,594.4580397001871
2026-08-28,HAMP,VIZG,supramax,22.14,12,False,9.407181829880981,590.8985661791227
2026-07-24,HYPT,HALD,capesize,7.12,37,False,9.791190142163714,593.8635192052556
2026-07-25,HYPT,HALD,capesize,7.17,38,False,9.704335504848247,594.0985116216818
2026-07-26,HYPT,HALD,capesize,7.15,30,False,9.693435487276265,604.1320275303412
2026-07-27,HYPT,HALD,capesize,7.17,34,False,9.259950173668882,590.5494021903468
2026-07-28,HYPT,HALD,capesize,7.2,36,False,9.854051642573353,601.2855648948844
2026-07-29,HYPT,HALD,capesize,7.12,35,False,9.688600655262702,598.5653992424559
2026-07-30,HYPT,HALD,capesize,7.16,33,False,9.591069629736905,594.723535194014
2026-07-31,HYPT,HALD,capesize,7.18,38,False,10.49229887044398,592.4016250797421
2026-08-01,HYPT,HALD,capesize,7.09,35,False,9.415409424808916,591.3760152049913
2026-08-02,HYPT,HALD,capesize,7.18,31,False,10.98308937692111,597.1680706402101
2026-08-03,HYPT,HALD,capesize,7.19,38,False,9.839774688639919,597.9523549850487
2026-08-04,HYPT,HALD,capesize,7.16,37,False,9.628191852008726,604.0454070578761
2026-08-05,HYPT,HALD,capesize,7.18,35,False,9.206185610520844,604.1948689606772
2026-08-06,HYPT,HALD,capesize,7.1,33,False,10.02605188779549,590.0367373357907
2026-08-07,HYPT,HALD,capesize,7.14,30,False,9.611232619291073,596.287682212372
2026-08-08,HYPT,HALD,capesize,7.13,34,False,9.66614287570836,590.3575494999792
2026-08-09,HYPT,HALD,capesize,7.21,30,False,9.63601463113723,604.4024563972238
2026-08-10,HYPT,HALD,capesize,7.16,32,False,9.787260169534738,591.6107306566809
2026-08-11,HYPT,HALD,capesize,7.14,37,False,10.231592636381318,597.0079096362315
2026-08-12,HYPT,HALD,capesize,7.17,33,False,10.94092272764808,592.6110329165961
2026-08-13,HYPT,HALD,capesize,7.11,37,False,9.563164379787429,593.3030603301106
2026-08-14,HYPT,HALD,capesize,7.19,35,False,10.608935782648663,597.3850697639795
